id	filename	md5	size	state
3f34af32-53c9-4b97-8886-a3057991c466	6221d7ba-de98-418c-a341-2a6cbc3ccf23.htseq.counts.gz	3213632271562024dc87b9a6692f6a8e	240468	live
7a5b1cfb-e4d1-4989-bfc0-6eb2afb31e2e	35c9fca2-c634-480b-962f-e6fc542d2a01.htseq.counts.gz	e8703c6ea25eff56a4468ac30b2e6aa2	244355	live
e7a3c801-4e2f-45fd-948b-cef353403afb	85bebda7-644b-4f9b-a928-b758f4fd9495.htseq.counts.gz	42c0bfc4cfee65de94638755320d41f4	254152	live
f18234f6-9933-4aa7-8c17-f41f64569cf6	d5fb0f37-d8e0-4ec8-a3c5-dbc68e7b228f.htseq.counts.gz	f9cf2d06ef6452c322b11b32f936a60d	250502	live
b48c636d-ac52-40cd-8279-0215259f8406	faac986b-ed3c-4547-a4e0-387f2d4d63b0.htseq.counts.gz	42814891a346604c70357a5ab23b8670	253586	live
0d2c466e-d8b8-4b8f-9909-0be2175fa6a0	39fae157-a126-4635-a212-137065a398f9.htseq.counts.gz	467958c61aca3278ff11b72c82ed4789	251695	live
533b56af-6953-4e39-b23e-ddf9a06499a5	a15f6726-8746-4176-bc5a-1f6b4a8e0ee0.htseq.counts.gz	a85b9edf208a3d5c13025e2c5670eb90	253023	live
c32379fa-928f-4eec-b849-a5b715d1f9cb	c696175b-9427-484b-8673-49a1c321f2fa.htseq.counts.gz	7369c03bbccac574d4371d905c03aa77	250457	live
13921de8-8580-4f26-88bb-49f71ea6e103	fbc4ffad-8a22-4531-8a3a-5761f40cfd82.htseq.counts.gz	4621489cc07a5304b1825633e7b86b64	251908	live
f5cf4d3b-50f0-4c39-a8c3-450436f5844a	e57fc205-c603-4fda-9524-85257817f713.htseq.counts.gz	c37d928c63d683c66eb158535bb0fc8b	242199	live
4fc729ce-f4f2-492f-b305-10f51ca60972	855b771f-e894-43a8-ab38-99d0920783bd.htseq.counts.gz	b220169fe1806f2e955b27123bbd0ded	243141	live
9796011a-fbab-409a-a850-bd890098c576	8a913a99-5b8d-4ebf-9d66-b93f5c92431e.htseq.counts.gz	af98ca70c40b9d7e349951cc9f542343	243099	live
fd0ea67b-5b75-471f-be3c-a92142b91cf3	36efaf00-cc8e-437b-893d-6dcec1328022.htseq.counts.gz	c05351d380db47c34fbeb67edfe36b53	248718	live
7dd1c33e-35ef-406d-b516-5b3b2a486473	fae43343-f746-4c1d-afb2-bb36967cee0f.htseq.counts.gz	166a312c418e1531ff181442f1053472	252422	live
b554b9e8-01c4-46ad-8909-5ada19fe5860	468c5071-fbaf-4b2e-87f4-9c75ca0096be.htseq.counts.gz	bbe68a2636173f85b1df59d87a00bb44	247970	live
bd31db54-5544-41e6-abab-86f2e997cfe5	6496c79a-4364-4adc-8c64-5c2fa17c0410.htseq.counts.gz	64925adbf68f5dee236cb3ca63a67e8f	249284	live
8499d831-d9d9-4279-8fbe-84d48a562ed0	0f0e9856-1a21-4129-a791-deb93f75fa56.htseq.counts.gz	f3ff98ab8254d6574cc1eac0fb63a137	248962	live
f38840ce-3838-40df-b5f2-ecd58bfe7c57	b408c617-5d6e-4328-a973-345f41db6370.htseq.counts.gz	f803665c77d99493b78b8a825baf6388	249011	live
8e31c3bb-40c8-48e2-9de1-1ee1ee31aac8	d3b8d3bc-ac3b-434f-b40b-dcd8235fb87a.htseq.counts.gz	92cb54a2007f7fc987493438f23c0ef7	254386	live
7cde9495-e573-4b38-b89c-991076cf8cf8	38c31608-d1ad-4eb2-96f9-924f6a8d3219.htseq.counts.gz	2f0b736f839bab62d4b9dbc89fef65ec	254724	live
50e857b6-77be-4dd6-ac94-4b2186129fcb	3f3db8bd-f247-4e75-a137-7b84f5a7c6d2.htseq.counts.gz	cbbf9fe571cea852b62e800d521797d7	251099	live
b886634e-e0a7-459a-a2c9-20fabb779dc6	a4db2c6c-403b-4ea1-9b54-d2aae853389c.htseq.counts.gz	7ccdb42057d18206f0fbd3dfd2b04fc6	252119	live
b223180f-7a91-40dd-a3f1-ab423a820255	51724196-560a-47d6-adb4-5fb1ff622f21.htseq.counts.gz	2d2e8608998c8a7c78cb6a9b41a80137	254450	live
efb2d3a5-b73d-4895-865c-4c27d4c142bc	662bbe73-fded-44c1-abf4-bbae3f65ae3b.htseq.counts.gz	b8f91fedea0bb643845f7bd202ce442c	241813	live
361cb97e-20ee-4a03-8c77-574fe10bf0d5	a8832eae-f36d-4ac5-b4c6-f8411a85d926.htseq.counts.gz	a7ae565452f0d783fa155dc45de87657	251507	live
19e8fd21-f6c8-49b0-aa76-109eef46c2e9	8b20cba8-9fd5-4d56-bd02-c6f4a62767e8.htseq.counts.gz	4082ccbe2bbedbd13149691450190ef3	251129	live
e4e4df95-84e9-4811-9ff9-d3bf4f3be116	908d56cc-fda7-431b-963c-e8ca753f5561.htseq.counts.gz	80b86dca2198ca1b03c4995a59b970f4	241890	live
b74b20b7-2797-4266-8f56-166978275576	8f00d52e-9dde-4594-87a1-8946bc7fb438.htseq.counts.gz	49176f90b507c9e365ea2c1b7bbb90e3	245220	live
7845948f-701e-49c5-8b76-2f0e2f0d5a76	49f80167-5bbc-4f3e-aaa0-285d029b1202.htseq.counts.gz	6ecfc53f40ad51a86fd808babee85167	246588	live
